X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-65.2289126197267,44.4359641322341,202234,SECOND LOOKOFF PICNIC AREA,AIRE DE PIQUE-NIQUE,PICNIC,PIQUE-NIQUE,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-65.231543495551,44.4351798920266,202235,THIRD LOOKOFF PICNIC AREA,AIRE DE PIQUE-NIQUE,PICNIC,AIRE DE PIQUE-NIQUE,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-65.2357944096098,44.4339667766014,202236,FOURTH LOOKOFF PICNIC AREA,,,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-79.8220608568863,44.866918933932,202237,Mainland Honey Harbour-Waste Dropoff,,Mainland Honey Harbour,,,,,,Garbage / Recycling Drop-Off Facility//Dépôt pour déchets et recyclage,Yes//Oui,No//Non
-79.8218260411508,44.8670216293286,202238,Mainland Honey Harbour-Waste Dropoff,,Mainland Honey Harbour,,,,,,Garbage / Recycling Drop-Off Facility//Dépôt pour déchets et recyclage,Yes//Oui,No//Non
-79.821685816435,44.8670759909921,202239,Mainland Honey Harbour-Waste Dropoff,,Mainland Honey Harbour,,,,,,Garbage / Recycling Drop-Off Facility//Dépôt pour déchets et recyclage,Yes//Oui,No//Non
-79.8222049562925,44.8670831559624,202240,Honey Harbour Operations Station,,Operations Station,,,,,,Compound/Operations Station//Ateliers/Station des opérations,Yes//Oui,No//Non
-79.82207212081,44.866988177534,202241,Woodshed on Mainland Honey Harbour,,Woodshed on Mainland Honey Harbour,,,,,,Firewood Processing / Storage Area//Traitement ou entreposage de bois à brûler,Yes//Oui,No//Non
-79.8223755278502,44.866952257856,202242,Honey harbour Composting Toilet,,Honey harbour Composting Toilet,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-73.6752674981793,45.4315837266761,202243,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-73.6774540662117,45.4317138139216,202244,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-73.6709816037229,45.4311705630104,202245,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-73.6693288269742,45.4310954163459,202246,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-73.6695953053703,45.4313794059512,202247,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-73.6705653047233,45.4313460238672,202248,Bridge - Commerce de fourrures Lachine,Pont - Commerce de fourrures Lachine,Bridge,Pont,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-82.5489245822326,41.9866559632313,202249,Park Entrance Kiosk,Kiosque à l’entrée du parc,Park Entrance Kiosk,Kiosque à l’entrée du parc,,,,,Parks Canada Offices//Bureaux de Parcs Canada,Yes//Oui,No//Non
-82.5457685983068,41.9830001362204,202250,Park Orientation,Orientation au parc,Park Orientation,Orientation au parc,,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,No//Non
-82.5435203558618,41.981460820071,202251,Sanctuary Lookout,Belvédère Sanctuary,Sanctuary Lookout,Belvédère Sanctuary,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5370782359355,41.9735261521487,202252,Sanctuary,Sanctuary,Sanctuary,Sanctuary,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5339360482443,41.9676801539804,202253,Northwest Beach,Plage Northwest,Northwest Beach,Plage Northwest,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-82.5324397461435,41.968598312724,202254,Blue Heron,Blue Heron,Blue Heron,Blue Heron,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-82.5310394413162,41.967789202061,202255,Marsh Boardwalk,Promenade du Marais,Marsh Boardwalk,Promenade du Marais,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5254947509921,41.9561750525241,202256,Dunes,Dunes,Dunes,Dunes,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5237400265033,41.9532499596391,202257,Sleepy Hollow,Sleepy Hollow,Sleepy Hollow,Sleepy Hollow,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5213754882658,41.9486726868749,202258,Pioneer,Pioneer,Pioneer,Pioneer,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5192002112756,41.9491297197638,202259,DeLaurier Homestead,Propriété DeLaurier,DeLaurier Homestead and Trail,Propriété et sentier DeLaurier,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,Yes//Oui
-82.5218682727094,41.9460795469826,202260,Black Willow Beach,Plage Black Willow,Black Willow Beach,Plage Black Willow,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-82.5184970680665,41.9405139314682,202261,White Pine,White Pine,White Pine,White Pine,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5149801234697,41.9363015588551,202262,Camp Henry,Camp Henry,Camp Henry,Camp Henry,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,No//Non
-82.5163389851687,41.9332651941057,202263,West Beach,Plage West,West Beach,Plage West,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,Yes//Oui
-82.5131298160716,41.9316076729139,202264,Visitor Centre,Centre d’accueil,Visitor Centre,Centre d’accueil,,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,Yes//Oui
-82.5094987489871,41.9139166593946,202265,Tip Exhibit Area,Exposition à la Pointe,Tip,La Pointe,,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-82.5160988935345,41.9424642520277,202266,Cemetery,Cimetière,Cemetery,Cimetière,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-82.5742399909768,42.0140388714276,202267,Administration,Administration,Administration,Administration,,,,,Parks Canada Offices//Bureaux de Parcs Canada,Yes//Oui,Yes//Oui
-113.9091425439,49.0505917129764,202268,WLNP Visitor Centre,,WLNP Visitor Centre,,36000,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,No//Non
-113.886352006154,49.0748297040625,202269,Waterton Lakes Golf Course,,Waterton Lakes Golf Course,,36000,,,,Golf Course//Parcours de golf,Yes//Oui,No//Non
-113.905628419868,49.0653559358008,202270,Warden Office,,Warden Office,,36000,,,,Parks Canada Offices//Bureaux de Parcs Canada,Yes//Oui,No//Non
-113.905526806031,49.0653366489202,202271,Operations Building,,,,36000,,,,Parks Canada Offices//Bureaux de Parcs Canada,Yes//Oui,No//Non
-113.903233590546,49.0634235971552,202272,Linnet Boat Launch,,,,36000,,,,Boat Launch Facility//Rampe de mise à l'eau,Yes//Oui,No//Non
-113.841388575665,49.1107685564907,202273,Maskinonge,,Maskinonge,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.851845148868,49.1029686510543,202274,Knight's Lake,,Knight's Lake,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.908512094641,49.0567580176111,202275,Emerald Bay,,Emerald Bay,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.903159181315,49.0633465288681,202276,Linnet Lake,,,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.906885021251,49.0536671285433,202277,Marina,,Marina,,36000,,,,Marina//Marina,Yes//Oui,No//Non
-113.907518917135,49.0541715864563,202278,Marina Boat Launch,,,,36000,,,,Boat Launch Facility//Rampe de mise à l'eau,Yes//Oui,No//Non
-113.911353199091,49.052857472526,202279,Fire Hall,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.916258972315,49.051031279714,202280,Alderton-Carthew,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.916862948104,49.0467864625289,202281,Bertha,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.851290234675,49.0801358580268,202282,Hay Barn,,,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.881486290617,49.0774638530302,202283,Pass Creek,,,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.959291078265,49.1044462432821,202284,Coppermine Creek,,Coppermine Creek,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-114.025899368063,49.1313034331294,202285,Red Rock Canyon,,Red Rock Canyon,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-114.026539435627,49.1306353265111,202286,Snowshoe / Blakiston,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.964092229313,49.0991086422825,202287,Crandell North,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.999674419036,49.120705789317,202288,Lost Horse Creek,,Lost Horse Creek,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.894288770534,49.0989786421414,202289,Bellevue,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.95585507159,49.1000270227667,202290,Crandell Campground,,Crandell Campground,,36000,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,No//Non
-113.974595753919,49.0768141156362,202291,Crandell South,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.967530804701,49.0785092773151,202292,McNeely's,McNeely's,McNeely's,McNeely's,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.999304258849,49.0658814242364,202293,Lineham Creek,,Lineham Creek,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-114.011679980033,49.0576845953507,202294,Rowe Lakes,,Rowe Lakes,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-114.032493908573,49.040593562477,202295,Little Prairie,,Little Prairie,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-114.046066754246,49.019626577415,202296,Cameron Lake,,,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-114.043709893179,49.0195641742831,202297,Carthew-Alderson,,,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-114.046162450974,49.0209007785916,202298,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-114.044858904526,49.0198654470115,202299,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-114.044973738356,49.0199585235,202300,Cameron Boat Launch,,,,36000,,,,Boat Launch Facility//Rampe de mise à l'eau,Yes//Oui,No//Non
-114.042713868597,49.0304609797273,202301,Akamina,Akamina,Akamina,Akamina,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.914807832815,49.0477362277013,202302,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.914694718018,49.0483875518166,202303,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.914822715978,49.0467812420681,202304,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.91251048603,49.0470453921872,202305,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.911894927605,49.0470253170238,202306,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.911998768698,49.0477993919846,202307,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.910383928251,49.0471202465807,202308,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.909496070357,49.0480121937362,202309,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.910543209318,49.0484309594898,202310,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.911657469364,49.0487782899109,202311,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.908695508142,49.0484319511183,202312,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.909588100525,49.0485351776486,202313,Townsite Campground,,Townsite Campground,,36000,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,No//Non
-113.684549495274,49.0261306260378,202314,Belly River Campground,,Belly River Campground,,36000,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,No//Non
-113.687422341179,49.0226710710963,202315,Belly river,,,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-113.687714397648,49.0243960031192,202316,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-114.025544139878,49.1312502556811,202317,,,,,36000,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-113.96728993156,49.0888995211685,202318,Crandell Lake,,Crandell Lake,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-113.906781077358,48.9987980464723,202319,Boundary Bay,,Boundary Bay,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-113.910537904459,49.0285654957356,202320,Bertha Bay,,Bertha Bay,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-113.936859261394,49.0309014805766,202321,Bertha Lake,,Bertha Lake,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-113.973150007121,49.0319654904387,202322,Alderson Lake,,Alderson Lake,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-114.13074740895,49.089782294543,202323,Lone Lake,,Lone Lake,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-114.154825478463,49.134642632222,202324,Twin Lakes,,Twin Lakes,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-114.12400530244,49.1446481899247,202325,Snowshoe,,Snowshoe,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-114.133497128713,49.0903379929144,202326,Lone Lake Cabin,,,,36000,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,No//Non,No//Non
-114.124510877567,49.1446695599313,202327,Snowshoe Cabin,,,,36000,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,No//Non,No//Non
-114.091364419819,49.1645525952379,202328,Goat Lake,,Goat Lake,,36000,,,,Backcountry Camping / Shelter Area//Camping d'arrière-pays / Aire d'abri,Yes//Oui,No//Non
-114.243562186308,50.4194974804903,202329,Bar U Visitor Centre,,Bar U Visitor Centre,,36000,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,No//Non
-113.908032814373,49.0608166797002,202330,Bear's Hump,,Bear's Hump,,36000,,,,Trailhead Area//Point de départ de sentier,Yes//Oui,No//Non
-113.895661448924,49.0659784584019,202331,Driftwood Beach,,Driftwood Beach,,36000,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-140.156644874177,69.1616454680983,202332,Backcountry Utility Mgmt Systm (Waste Water),,Waste Water,,,,,,Sewage Processing / Lagoon//Traitement des égouts / Lagune,No//Non,No//Non
-140.15660027736,69.1616614883319,202333,Backcountry Utility Mgmt Systm (Potable Water),,Potable Water,,,,,,Drinking Water Processing Plant//Usine de traitement des eaux,No//Non,No//Non
-140.155113202308,69.1614181667179,202334,Outhouse,,Outhouse,,,,,,Washroom Facility//Toilettes,No//Non,No//Non
-140.156609193147,69.1616274393557,202335,Flush Toilet,,Flush Toilet,,,,,,Washroom Facility//Toilettes,No//Non,No//Non
-140.156589326952,69.1616412147835,202336,Flush Toilet/Shower,,Flush Toilet/Shower,,,,,,Washroom Facility//Toilettes,No//Non,No//Non
-140.157032490907,69.1615837061918,202337,Garage/Workshop - Imniarvik,,Garage/Workshop,,,,,,Compound/Operations Station//Ateliers/Station des opérations,No//Non,No//Non
