X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-72.8207819492735,46.7870855817571,104593,Lookout long trail,Belvédère sentier longue randonnée,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.813259990621,46.7855021241296,104594,Lookout long trail,Belvédère sentier longue randonnée,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8092914400086,46.7828883332327,104595,Lookout long trail,Belvédère sentier longue randonnée,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8092703686215,46.7672647610122,104596,Lookout long trail,Belvédère sentier longue randonnée,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8129625384044,46.7757049698751,104597,Lookout,Belvédère,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8132632709162,46.7750717528407,104598,Belvédère,Belvédère,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8122255933029,46.7751419061298,104599,Belvédère,Belvédère,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8123630124801,46.7753065268532,104600,Belvédère sentier longue randonnée,Belvédère sentier longue randonnée,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.8129665450857,46.7756060519978,104601,Belvédère sentier longue randonnée,Belvédère 2 criques Rosoy,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.7675185615578,46.7332941290426,104602,Lookout St-Jean-Des-Piles,Belvédère Acceuil St-Jean des Piles,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.1260942680493,46.7732350977695,104603,Lookout Anticagamac,Belvédère Anticagamac,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.789267780508,46.7513377197419,104604,Lookout Baie de la Pêche,Belvédère Baie de la Pêche,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.7893432884796,46.7507722057009,104605,Picnic Site,Place de pique-nique,,,,,,,,,,Picnic Site//Place de pique-nique
-72.8391756905466,46.7619208809012,104606,Picnic Site Bouchard,Place de pique-nique Bouchard,,,,,,,,,,Picnic Site//Place de pique-nique
-72.8387388108805,46.7620386203024,104607,Picnic Site Bouchard,Place de pique-nique Bouchard,,,,,,,,,,Picnic Site//Place de pique-nique
-72.8390537337239,46.7623505525955,104608,Picnic Site Bouchard,Place de pique-nique Bouchard,,,,,,,,,,Picnic Site//Place de pique-nique
-73.0103710330456,46.6731682804169,104609,Lookout Cascade,Belvédère Cascade,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0204702063619,46.6855379427853,104610,Lookout Iles aux pins,Belvédère Iles aux Pins,,,,,,,,,,Lookout/Lookoff//Belvédère
